"species","stateProvince","decimalLatitude","decimalLongitude"
"Acacia ramiflora","Queensland",-20.723462,145.209466
"Flindersia oppositifolia","Queensland",-17.256798,145.859437
"Euphorbia dallachyana","Queensland",-27.390069,153.126061
"Acronychia pauciflora","Queensland",-27.423406,152.842736
"Acacia limbata","Queensland",-19.39016,139.75952
"Aglaia argentea","Queensland",-12.840161,143.342783
"Eucalyptus lockyeri","Queensland",-17.390134,145.342777
"Erythrophleum chlorostachys","Queensland",-15.756805,145.276104
"Rhododendron lochiae","Queensland",-15.823472,145.29277
"Tapeinosperma pallidum","Queensland",-15.823472,145.34277
"Cryptocarya putida","Queensland",-17.173465,145.592771
"Parapolystichum microsorum","Queensland",-27.973401,153.209399
"Duboisia myoporoides","Queensland",-27.290077,152.192744
"Fimbristylis dichotoma","Queensland",-23.656777,146.642799
"Parsonsia straminea","Queensland",-26.840074,152.959398
"Halophila ovalis","Queensland",-27.506735,153.409399
"Cryptocarya densiflora","Queensland",-16.458333,145.208333
"Elattostachys microcarpa","Queensland",-16.573469,145.276108
"Pultenaea petiolaris","Queensland",-23.856757,149.092762
"Decaspermum humile","Queensland",-18.156794,145.592778
"Aglaia brassii","Queensland",-16.458333,145.208333
"Amyema queenslandica","Queensland",-17.323465,145.509437
"Amyema congener","Queensland",-25.591667,151.908333
"Xanthostemon crenulatus","Queensland",-12.6735,141.926125
"Thaumastochloa major","Queensland",-18.073483,141.642822
"Eucalyptus exserta","Queensland",-18.506795,145.259453
"Bursaria incana","Queensland",-19.556801,144.276136
"Miliusa horsfieldii","Queensland",-16.02347,145.342773
"Eucalyptus curtisii","Queensland",-27.466944,153.098056
"Acacia longispicata","Queensland",-19.940134,144.276136
"Eucalyptus exserta","Queensland",-20.173449,146.759444
"Pultenaea euchila","Queensland",-24.990082,152.209388
"Plectranthus parviflorus","Queensland",-27.390069,153.126061
"Notothixos incanus","Queensland",-27.390069,153.126061
"Smilax glyciphylla","Queensland",-26.79007,153.142724
"Melaleuca stenostachya","Queensland",-16.234444,144.728056
"Drosera finlaysoniana","Queensland",-17.140131,145.559437
"Lunasia amara","Queensland",-12.756827,143.25945
"Comesperma pallidum","Queensland",-20.706796,145.209466
"Gyrocarpus americanus","Queensland",-20.173449,146.759444
"Aristida benthamii","Queensland",-26.056736,153.04272
"Amaranthus interruptus","Queensland",-28.223408,152.10942
"Clematis glycinoides","Queensland",-25.691667,150.908333
"Hernandia albiflora","Queensland",-16.473471,145.326106
"Denhamia oleaster","Queensland",-20.090116,146.926111
"Pultenaea myrtoides","Queensland",-27.540068,153.109399
"Syzygium forte","Queensland",-13.540156,143.476119
"Trentepohlia abietina","Queensland",-28.056741,152.40942
"Amaranthus macrocarpus","Queensland",-27.323425,149.892784
"Dianella atraxis","Queensland",-12.756827,143.25945
"Rockinghamia brevipes","Queensland",-17.256798,145.842771
"Caesia parviflora","Queensland",-26.473403,153.109387
"Tecomanthe hillii","Queensland",-26.006736,153.076054
"Zornia dyctiocarpa","Queensland",-26.473403,153.109387
"Blumea tenella","Queensland",-25.773413,152.276063
"Terminalia subacroptera","Queensland",-17.94015,141.79282
"Rumex brownei","Queensland",-27.390069,153.126061
"Solanum stelligerum","Queensland",-17.906797,145.559441
"Barringtonia acutangula","Queensland",-12.840161,143.342783
"Eucalyptus persistens","Queensland",-20.173449,146.759444
"Rhodomyrtus pervagata","Queensland",-17.006798,145.592771
"Callistemon pachyphyllus","Queensland",-25.073414,152.259392
"Helmholtzia acorifolia","Queensland",-16.440137,145.259439
"Xanthophyllum fragrans","Queensland",-16.12347,145.442773
"Syzygium sharoniae","Queensland",-16.17347,145.426106
"Styphelia viridis","Queensland",-25.990071,153.076049
"Swainsona campylantha","Queensland",-27.006758,149.842784
"Sesuvium portulacastrum","Queensland",-12.268056,143.294722
"Pseuduvaria mulgraveana","Queensland",-17.256798,145.909437
"Ganophyllum falcatum","Queensland",-16.651667,145.564722
"Solanum eminens","Queensland",-17.256798,145.842771
"Eucalyptus cambageana","Queensland",-20.173455,146.009453
"Chorizandra sphaerocephala","Queensland",-27.556735,153.059399
"Premna serratifolia","Queensland",-9.923511,144.042753
"Beilschmiedia collina","Queensland",-16.458333,145.208333
"Eucalyptus leptophleba","Queensland",-17.340136,144.926117
"Eucalyptus similis","Queensland",-20.590129,145.342799
"Wahlenbergia gracilis","Queensland",-27.590068,153.092732
"Eragrostis concinna","Queensland",-17.906817,141.759486
"Terminalia microcarpa","Queensland",-15.090139,145.176102
"Ipomoea graminea","Queensland",-19.523448,147.109433
"Pararchidendron pruinosum","Queensland",-16.02347,145.342773
"Tecomanthe burungu","Queensland",-15.790139,145.29277
"Pilidiostigma sessile","Queensland",-16.440137,145.259439
"Westringia eremicola","Queensland",-27.540068,153.109399
"Pittosporum spinescens","Queensland",-20.173449,146.759444
"Acacia triptera","Queensland",-21.156774,147.692766
"Cheilanthes sieberi","Queensland",-27.190081,151.726085
"Celtis philippensis","Queensland",-14.590144,144.592774
"Melaleuca viridiflora","Queensland",-15.84014,144.759443
"Litsea leefeana","Queensland",-17.756797,145.559441
"Acacia aulacocarpa","Queensland",-17.206798,145.809437
"Psilotum complanatum","Queensland",-13.756822,143.342786
"Beilschmiedia brunnea","Queensland",-17.756797,145.559441
"Fimbristylis densa","Queensland",-17.973484,141.526153
"Endiandra dielsiana","Queensland",-16.458333,145.208333
"Acacia guymeri","Queensland",-16.341111,144.716111
"Polysiphonia denudata","Queensland",-27.423403,153.092728
"Terminalia aridicola","Queensland",-20.173449,146.759444
"Lenbrassia australiana","Queensland",-16.440137,145.259439
"Daviesia ulicifolia","Queensland",-27.540068,153.109399
"Lenwebbia lasioclada","Queensland",-17.256798,145.842771
"Melaleuca viridiflora","Queensland",-14.340147,144.509436
"Margaritaria dubium-traceyi","Queensland",-18.040149,141.642822
"Eragrostis brownii","Queensland",-26.056736,153.09272
"Chionanthus sleumeri","Queensland",-16.106804,145.459439
"Gleichenia dicarpa","Queensland",-16.440137,145.259439
"Notelaea microcarpa","Queensland",-17.390134,145.392777
"Dodonaea triquetra","Queensland",-25.9625,153.111667
"Diospyros hemicycloides","Queensland",-15.823472,145.309437
"Polyscias elegans","Queensland",-20.173449,146.759444
"Ternstroemia cherryi","Queensland",-15.808333,145.325
"Hackelia suaveolens","Queensland",-27.073417,151.44276
"Margaritaria dubium-traceyi","Queensland",-18.040149,141.642822
"Cyperus polystachyos","Queensland",-27.390069,153.126061
"Caulerpa fastigiata","Queensland",-27.256736,153.126061
"Melaleuca nervosa","Queensland",-17.99015,141.89282
"Petalostigma pubescens","Queensland",-18.073479,142.076151
"Darlingia ferruginea","Queensland",-17.506799,145.476113
