"SP","Y","elevation"
"Acacia floribunda",1973,80
"Acacia floribunda",1976,49
"Acacia floribunda",1978,240
"Acacia floribunda",1979,156
"Acacia floribunda",1980,180
"Acacia floribunda",1982,30
"Acacia floribunda",1983,100
"Acacia floribunda",1984,183.333333333333
"Acacia floribunda",1985,150
"Acacia floribunda",1986,20
"Acacia floribunda",1988,390
"Acacia floribunda",1989,165
"Acacia floribunda",1990,112.272727272727
"Acacia floribunda",1991,44.375
"Acacia floribunda",1992,97.875
"Acacia floribunda",1993,48.3333333333333
"Acacia floribunda",1995,422
"Acacia floribunda",1996,485
"Acacia floribunda",1997,218.333333333333
"Acacia floribunda",1998,330
"Acacia floribunda",1999,204
"Acacia floribunda",2001,1020
"Acacia floribunda",2002,55
"Acacia floribunda",2003,100
"Acacia floribunda",2004,65
"Acacia floribunda",2005,96
"Acacia floribunda",2006,117.2
"Acacia floribunda",2007,86
"Acacia floribunda",2008,203.333333333333
"Acacia floribunda",2009,329.5
"Acacia floribunda",2011,282.333333333333
"Acacia floribunda",2012,462.68
"Acacia floribunda",2014,386.202702702703
"Acacia floribunda",2015,332.946428571429
"Acacia floribunda",2017,295.235294117647
"Acacia retinodes",1973,70
"Acacia retinodes",1978,70
"Acacia retinodes",1980,60
"Acacia retinodes",1981,300
"Acacia retinodes",1982,30
"Acacia retinodes",1983,0
"Acacia retinodes",1985,214.444444444444
"Acacia retinodes",1986,342.083333333333
"Acacia retinodes",1987,60
"Acacia retinodes",1988,220.769230769231
"Acacia retinodes",1989,36.7272727272727
"Acacia retinodes",1990,45
"Acacia retinodes",1991,228
"Acacia retinodes",1992,200.285714285714
"Acacia retinodes",1993,72.5
"Acacia retinodes",1994,292
"Acacia retinodes",1995,518.285714285714
"Acacia retinodes",1996,15.5
"Acacia retinodes",1997,500
"Acacia retinodes",1998,151.428571428571
"Acacia retinodes",1999,97.8571428571429
"Acacia retinodes",2001,110
"Acacia retinodes",2002,43.3333333333333
"Acacia retinodes",2003,195
"Acacia retinodes",2004,119.333333333333
"Acacia retinodes",2007,30
"Acacia retinodes",2012,469.342857142857
"Acacia retinodes",2014,298.933333333333
"Acacia retinodes",2015,331.1
"Acacia sophorae",1977,0
"Acacia sophorae",1978,20
"Acacia sophorae",1979,30
"Acacia sophorae",1982,25
"Acacia sophorae",1984,22.8571428571429
"Acacia sophorae",1985,30
"Acacia sophorae",1986,29.9677419354839
"Acacia sophorae",1987,44.0416666666667
"Acacia sophorae",1988,66.25
"Acacia sophorae",1989,41.1666666666667
"Acacia sophorae",1990,59.5238095238095
"Acacia sophorae",1991,60.2941176470588
"Acacia sophorae",1992,38.1739130434783
"Acacia sophorae",1993,40.4117647058824
"Acacia sophorae",1994,17.8571428571429
"Acacia sophorae",1995,20.7272727272727
"Acacia sophorae",1996,12.85
"Acacia sophorae",1997,20.75
"Acacia sophorae",1998,30.5789473684211
"Acacia sophorae",1999,56.0769230769231
"Acacia sophorae",2000,21.9565217391304
"Acacia sophorae",2001,2.2719298245614
"Acacia sophorae",2002,5.02941176470588
"Acacia sophorae",2003,4.15151515151515
"Acacia sophorae",2004,33.1923076923077
"Acacia sophorae",2005,14.1875
"Acacia sophorae",2006,50.5
"Acacia sophorae",2007,47
"Acacia sophorae",2008,14
"Acacia sophorae",2009,70.5
"Acacia sophorae",2010,56
"Acacia sophorae",2012,269
"Aristida holathera",1972,80
"Aristida holathera",1983,106.666666666667
"Aristida holathera",1987,74.5
"Aristida holathera",1989,161.428571428571
"Aristida holathera",1990,50.5
"Aristida holathera",1991,132.75
"Aristida holathera",1992,228.1
"Aristida holathera",1993,260
"Aristida holathera",1994,2
"Aristida holathera",1995,131.666666666667
"Aristida holathera",1997,100
"Aristida holathera",1998,308.75
"Aristida holathera",2000,240
"Aristida holathera",2001,123
"Aristida holathera",2003,7
"Aristida holathera",2004,84
"Aristida holathera",2005,207.5
"Aristida holathera",2006,82
"Aristida holathera",2007,159.333333333333
"Aristida holathera",2008,158
"Aristida holathera",2010,314.5
"Aristida holathera",2012,100
"Aristida holathera",2016,260
"Aristida holathera",2017,228.666666666667
"Chenopodium spinescens",1979,200
"Chenopodium spinescens",1982,0
"Chenopodium spinescens",1985,40
"Chenopodium spinescens",1986,59.3333333333333
"Chenopodium spinescens",1987,93.3333333333333
"Chenopodium spinescens",1988,93.75
"Chenopodium spinescens",1989,125
"Chenopodium spinescens",1992,310
"Chenopodium spinescens",1993,93.695652173913
"Chenopodium spinescens",1994,83
"Chenopodium spinescens",1995,106.25
"Chenopodium spinescens",1996,94
"Chenopodium spinescens",1997,49.9565217391304
"Chenopodium spinescens",1998,80.6
"Chenopodium spinescens",1999,55.8235294117647
"Chenopodium spinescens",2000,43.8181818181818
"Chenopodium spinescens",2001,30.6730769230769
"Chenopodium spinescens",2002,74.8048780487805
"Chenopodium spinescens",2003,72.7142857142857
"Chenopodium spinescens",2004,72.6666666666667
"Chenopodium spinescens",2006,64.625
"Chenopodium spinescens",2007,100
"Chenopodium spinescens",2008,346
"Chenopodium spinescens",2010,156.5
"Chenopodium spinescens",2011,64
"Chenopodium spinescens",2013,71
"Chenopodium spinescens",2014,1390
"Chenopodium spinescens",2015,205
"Chenopodium spinescens",2016,110
"Chenopodium spinescens",2017,184
"Chenopodium spinescens",2019,233
"Dysphania pumilio",1973,70
"Dysphania pumilio",1978,165
"Dysphania pumilio",1981,140
"Dysphania pumilio",1983,86.6666666666667
"Dysphania pumilio",1984,10
"Dysphania pumilio",1985,45
"Dysphania pumilio",1986,50
"Dysphania pumilio",1987,191.833333333333
"Dysphania pumilio",1988,42.4
"Dysphania pumilio",1989,106.5
"Dysphania pumilio",1990,122.461538461538
"Dysphania pumilio",1991,48
"Dysphania pumilio",1992,83.6
"Dysphania pumilio",1993,99.1818181818182
"Dysphania pumilio",1994,105.5
"Dysphania pumilio",1995,433.2
"Dysphania pumilio",1996,127.153846153846
"Dysphania pumilio",1997,85
"Dysphania pumilio",1998,106.083333333333
"Dysphania pumilio",1999,201
"Dysphania pumilio",2000,125.555555555556
"Dysphania pumilio",2001,172.857142857143
"Dysphania pumilio",2002,64.1428571428571
"Dysphania pumilio",2003,104
"Dysphania pumilio",2004,338.125
"Dysphania pumilio",2005,77.4285714285714
"Dysphania pumilio",2006,172.375
"Dysphania pumilio",2007,343.5
"Dysphania pumilio",2008,169.2
"Dysphania pumilio",2009,418.428571428571
"Dysphania pumilio",2010,102.571428571429
"Dysphania pumilio",2011,100
"Dysphania pumilio",2013,114.666666666667
"Dysphania pumilio",2014,137
"Dysphania pumilio",2015,582
"Dysphania pumilio",2017,1090
"Dysphania pumilio",2019,361
"Eucalyptus botryoides",1976,90
"Eucalyptus botryoides",1977,29.6
"Eucalyptus botryoides",1978,8
"Eucalyptus botryoides",1979,65.4615384615385
"Eucalyptus botryoides",1980,132.5
"Eucalyptus botryoides",1981,15.7142857142857
"Eucalyptus botryoides",1982,96.3333333333333
"Eucalyptus botryoides",1983,10
"Eucalyptus botryoides",1984,260
"Eucalyptus botryoides",1985,106.666666666667
"Eucalyptus botryoides",1986,130.714285714286
"Eucalyptus botryoides",1987,79.25
"Eucalyptus botryoides",1988,125.340909090909
"Eucalyptus botryoides",1989,141
"Eucalyptus botryoides",1990,74.4545454545455
"Eucalyptus botryoides",1991,91.9354838709677
"Eucalyptus botryoides",1992,71.5606060606061
"Eucalyptus botryoides",1993,83.5526315789474
"Eucalyptus botryoides",1994,112.2
"Eucalyptus botryoides",1995,12.1666666666667
"Eucalyptus botryoides",1996,13.125
"Eucalyptus botryoides",1997,139
"Eucalyptus botryoides",1998,15
"Eucalyptus botryoides",1999,63.625
"Eucalyptus botryoides",2000,13.0769230769231
"Eucalyptus botryoides",2001,105.016666666667
"Eucalyptus botryoides",2002,23.3333333333333
"Eucalyptus botryoides",2003,3.57142857142857
"Eucalyptus botryoides",2004,139.142857142857
"Eucalyptus botryoides",2005,174
"Eucalyptus botryoides",2006,49.2307692307692
"Eucalyptus botryoides",2007,41.875
"Eucalyptus botryoides",2008,42.5
"Eucalyptus botryoides",2009,51.6190476190476
"Eucalyptus botryoides",2010,50.7777777777778
"Eucalyptus botryoides",2011,38.75
"Eucalyptus botryoides",2012,420.555555555556
"Eucalyptus botryoides",2014,252.6875
"Eucalyptus botryoides",2015,306.730769230769
"Eucalyptus botryoides",2017,256
"Euphorbia drummondii",1973,70
"Euphorbia drummondii",1978,49.2307692307692
"Euphorbia drummondii",1980,66
"Euphorbia drummondii",1981,360
"Euphorbia drummondii",1983,130
