"SP","Y","mean_LA"
"Acacia boormanii",1974,-36.78
"Acacia boormanii",1976,-36.9413390909091
"Acacia boormanii",1977,-36.8595846666667
"Acacia boormanii",1979,-36.9850654545455
"Acacia boormanii",1980,-37.3532625
"Acacia boormanii",1982,-37.325535
"Acacia boormanii",1983,-37.04430375
"Acacia boormanii",1984,-37.1480075
"Acacia boormanii",1985,-36.975088
"Acacia boormanii",1986,-37.44845
"Acacia boormanii",1987,-37.70679
"Acacia boormanii",1988,-36.3936775
"Acacia boormanii",1989,-37.08167
"Acacia boormanii",1990,-37.027334
"Acacia boormanii",1991,-36.99231
"Acacia boormanii",1993,-36.5766133333333
"Acacia boormanii",1996,-37.32356
"Acacia boormanii",1997,-36.96514
"Acacia boormanii",1998,-35.3
"Acacia boormanii",1999,-35.4042
"Acacia boormanii",2002,-37.97389
"Acacia boormanii",2003,-36.939515
"Acacia boormanii",2004,-36.97889
"Acacia boormanii",2005,-35.28
"Acacia boormanii",2006,-36.9
"Acacia boormanii",2008,-37.267404
"Acacia boormanii",2009,-37.82498
"Acacia boormanii",2011,-37.0145318181818
"Acacia boormanii",2012,-36.9636209178744
"Acacia boormanii",2013,-36.623783625
"Acacia boormanii",2014,-37.6759242857143
"Acacia boormanii",2015,-37.7387758823529
"Acacia boormanii",2016,-37.42367
"Acacia boormanii",2017,-37.273885
"Acacia boormanii",2018,-37.82602
"Acacia boormanii",2019,-37.87307
"Acacia floribunda",1973,-31.0494703333333
"Acacia floribunda",1974,-32.525
"Acacia floribunda",1975,-29.5
"Acacia floribunda",1976,-36.9333335
"Acacia floribunda",1977,-31.4670728571429
"Acacia floribunda",1978,-37.3002658333333
"Acacia floribunda",1979,-37.2382581818182
"Acacia floribunda",1980,-37.537145
"Acacia floribunda",1981,-36.896285
"Acacia floribunda",1982,-37.73514
"Acacia floribunda",1983,-37.7465733333333
"Acacia floribunda",1984,-37.56546375
"Acacia floribunda",1985,-37.4227
"Acacia floribunda",1986,-34.46006
"Acacia floribunda",1987,-38.17056
"Acacia floribunda",1988,-36.392875
"Acacia floribunda",1989,-34.8464745
"Acacia floribunda",1990,-37.5023786666667
"Acacia floribunda",1991,-37.5225375
"Acacia floribunda",1992,-37.24946
"Acacia floribunda",1993,-37.9934766666667
"Acacia floribunda",1994,-28.7448
"Acacia floribunda",1995,-33.793197875
"Acacia floribunda",1996,-35.0524933333333
"Acacia floribunda",1997,-36.299255
"Acacia floribunda",1998,-35.61639
"Acacia floribunda",1999,-37.6818822222222
"Acacia floribunda",2000,-37.79667
"Acacia floribunda",2001,-34.142485
"Acacia floribunda",2002,-37.5477766666667
"Acacia floribunda",2003,-30.8519736666667
"Acacia floribunda",2004,-37.8907226666667
"Acacia floribunda",2005,-36.572832
"Acacia floribunda",2006,-37.7744425
"Acacia floribunda",2007,-37.5257153846154
"Acacia floribunda",2008,-37.7676784210526
"Acacia floribunda",2009,-37.3066339285714
"Acacia floribunda",2010,-38.089045
"Acacia floribunda",2011,-37.365498
"Acacia floribunda",2012,-37.3271390625
"Acacia floribunda",2013,-38.2817233333333
"Acacia floribunda",2014,-37.6620365116279
"Acacia floribunda",2015,-37.6616713023256
"Acacia floribunda",2016,-37.6760771428571
"Acacia floribunda",2017,-37.277951875
"Acacia floribunda",2018,-37.9404165
"Acacia floribunda",2019,-37.65047
"Acacia howittii",1972,-38.482425
"Acacia howittii",1973,-38.1280533333333
"Acacia howittii",1977,-37.54847
"Acacia howittii",1978,-38.26387
"Acacia howittii",1980,-37.69861
"Acacia howittii",1981,-38.480002
"Acacia howittii",1983,-38.4875
"Acacia howittii",1985,-37.78664
"Acacia howittii",1986,-37.81667
"Acacia howittii",1987,-38.445
"Acacia howittii",1989,-37.89843
"Acacia howittii",1990,-38.07292
"Acacia howittii",1991,-37.760835
"Acacia howittii",1992,-37.72604
"Acacia howittii",1996,-38.203166
"Acacia howittii",1997,-38.45963
"Acacia howittii",2000,-38.467446
"Acacia howittii",2001,-37.71472
"Acacia howittii",2002,-37.872985
"Acacia howittii",2003,-38.4421428571429
"Acacia howittii",2004,-38.023195
"Acacia howittii",2005,-37.8638975
"Acacia howittii",2006,-38.3501373333333
"Acacia howittii",2007,-38.3663043478261
"Acacia howittii",2008,-38.0855766666667
"Acacia howittii",2009,-38.1142757142857
"Acacia howittii",2010,-37.63617
"Acacia howittii",2011,-37.7898206896552
"Acacia howittii",2012,-37.654405
"Acacia howittii",2013,-38.40578
"Acacia howittii",2014,-37.63918921875
"Acacia howittii",2015,-37.727615
"Acacia howittii",2016,-37.793065
"Acacia howittii",2017,-37.441485
"Acacia howittii",2018,-37.914985
"Acacia howittii",2019,-37.74355
"Acacia longifolia",1972,-36.313554
"Acacia longifolia",1973,-37.258617
"Acacia longifolia",1974,-38.099750625
"Acacia longifolia",1975,-36.8074083333333
"Acacia longifolia",1976,-37.6264566666667
"Acacia longifolia",1977,-36.87488
"Acacia longifolia",1978,-38.0721510638298
"Acacia longifolia",1979,-37.7140776422764
"Acacia longifolia",1980,-37.7916005945946
"Acacia longifolia",1981,-38.4170586666667
"Acacia longifolia",1982,-38.0253651020408
"Acacia longifolia",1983,-38.2235117142857
"Acacia longifolia",1984,-38.0395110714286
"Acacia longifolia",1985,-37.7066926470588
"Acacia longifolia",1986,-37.944097593985
"Acacia longifolia",1987,-37.6915546666667
"Acacia longifolia",1988,-37.6140089928058
"Acacia longifolia",1989,-37.7214375700935
"Acacia longifolia",1990,-37.7087069791667
"Acacia longifolia",1991,-37.6227313259669
"Acacia longifolia",1992,-37.8058978740157
"Acacia longifolia",1993,-37.7106656410256
"Acacia longifolia",1994,-37.9942994117647
"Acacia longifolia",1995,-37.78830075
"Acacia longifolia",1996,-37.8459032758621
"Acacia longifolia",1997,-37.6405983673469
"Acacia longifolia",1998,-37.8659071641791
"Acacia longifolia",1999,-37.9639791935484
"Acacia longifolia",2000,-37.9219156410256
"Acacia longifolia",2001,-37.6181273448276
"Acacia longifolia",2002,-38.0575139520958
"Acacia longifolia",2003,-38.0416916129032
"Acacia longifolia",2004,-38.0579077777778
"Acacia longifolia",2005,-37.8008954054054
"Acacia longifolia",2006,-38.0887414150943
"Acacia longifolia",2007,-37.8882702444444
"Acacia longifolia",2008,-37.8039326463415
"Acacia longifolia",2009,-37.9803789393939
"Acacia longifolia",2010,-37.81668475
"Acacia longifolia",2011,-37.6864618362283
"Acacia longifolia",2012,-38.0106802654867
"Acacia longifolia",2013,-38.021914509434
"Acacia longifolia",2014,-37.5552430833333
"Acacia longifolia",2015,-37.8206788125
"Acacia longifolia",2016,-38.0592726086957
"Acacia longifolia",2017,-37.794245308642
"Acacia longifolia",2018,-37.9630042888889
"Acacia longifolia",2019,-37.816408
"Acacia longifolia",2020,-38.3600857142857
"Acacia pravissima",1972,-37.29833
"Acacia pravissima",1973,-37.3240733333333
"Acacia pravissima",1975,-36.35
"Acacia pravissima",1979,-36.4527266666667
"Acacia pravissima",1980,-37.27361
"Acacia pravissima",1982,-37.23233
"Acacia pravissima",1983,-37.39847
"Acacia pravissima",1985,-37.86556
"Acacia pravissima",1986,-36.0733
"Acacia pravissima",1987,-36.7170170967742
"Acacia pravissima",1988,-36.189235
"Acacia pravissima",1989,-36.8201088888889
"Acacia pravissima",1990,-37.406138
"Acacia pravissima",1991,-37.53194
"Acacia pravissima",1992,-37.249375
"Acacia pravissima",1993,-36.9616766666667
"Acacia pravissima",1994,-36.8783355555556
"Acacia pravissima",1996,-37.76863
"Acacia pravissima",1997,-36.7082157142857
"Acacia pravissima",1998,-37.2931430555556
"Acacia pravissima",1999,-37.373345
"Acacia pravissima",2000,-36.9643511666667
"Acacia pravissima",2001,-36.65139
"Acacia pravissima",2002,-36.9536114285714
"Acacia pravissima",2003,-37.0283933333333
"Acacia pravissima",2004,-37.8281911111111
"Acacia pravissima",2005,-37.65581625
"Acacia pravissima",2006,-37.7351733333333
"Acacia pravissima",2007,-37.9467675
"Acacia pravissima",2008,-37.3396806451613
"Acacia pravissima",2009,-37.3329909090909
"Acacia pravissima",2010,-37.23921
"Acacia pravissima",2011,-37.2815371134021
"Acacia pravissima",2012,-37.2686803125
"Acacia pravissima",2013,-38.320295
"Acacia pravissima",2014,-37.6573166990291
"Acacia pravissima",2015,-37.6847342528736
"Acacia pravissima",2016,-37.5538833333333
"Acacia pravissima",2017,-36.92278
"Acacia pravissima",2018,-37.484785
"Acacia provincialis",1973,-36.5
"Acacia provincialis",1975,-36.3161733333333
"Acacia provincialis",1976,-37.466836
"Acacia provincialis",1977,-37.6136666666667
"Acacia provincialis",1980,-37.4025836363636
"Acacia provincialis",1982,-37.3334466666667
"Acacia provincialis",1983,-36.98185
"Acacia provincialis",1986,-37.23602
"Acacia provincialis",1987,-36.91515
"Acacia provincialis",1988,-38.0652
"Acacia provincialis",1989,-37.11519
"Acacia provincialis",1990,-37.18185
"Acacia provincialis",1991,-37.398135
"Acacia provincialis",1992,-38.0971
"Acacia provincialis",1995,-37.2878630769231
"Acacia provincialis",1996,-37.40848
"Acacia provincialis",1997,-37.178429375
"Acacia provincialis",1998,-37.054192
"Acacia provincialis",1999,-37.1694033333333
"Acacia provincialis",2000,-37.2920445454545
"Acacia provincialis",2001,-37.61042
"Acacia provincialis",2002,-37.7488875
"Acacia provincialis",2003,-37.526805
"Acacia provincialis",2004,-37.71259
"Acacia provincialis",2005,-37.55955
"Acacia provincialis",2006,-37.5020825
"Acacia provincialis",2007,-38.237578
"Acacia provincialis",2008,-37.4812927272727
"Acacia provincialis",2009,-37.3930983333333
"Acacia provincialis",2010,-37.7514418181818
"Acacia provincialis",2011,-37.2789377777778
"Acacia provincialis",2012,-37.2853486666667
"Acacia provincialis",2013,-37.690104
"Acacia provincialis",2014,-37.6958876595745
"Acacia provincialis",2015,-37.7259230612245
"Acacia provincialis",2016,-37.670273
"Acacia provincialis",2017,-36.9814313513514
"Acacia provincialis",2018,-37.526165
"Acacia provincialis",2019,-37.5182703333333
"Acacia provincialis",2020,-37.77998
"Acacia retinodes",1972,-37.56517
"Acacia retinodes",1973,-37.66556
"Acacia retinodes",1978,-37.7106133333333
"Acacia retinodes",1979,-37.66778
"Acacia retinodes",1980,-37.75557
"Acacia retinodes",1981,-37.0143288888889
"Acacia retinodes",1982,-37.688432
"Acacia retinodes",1983,-38.5742588888889
"Acacia retinodes",1984,-37.494445
"Acacia retinodes",1985,-37.1856177777778
"Acacia retinodes",1986,-37.39213
